evento,descrizione_evento,delta_y,delta_y_bp,delta_V,L,E_L_cond_G_hat
A2,Inflazione persistente,0.005206923106609196,52.06923106609196,-312415.38639655174,312415.38639655174,181993.39718483502
A3,Repricing severo,0.007144058929465949,71.44058929465949,-428643.5357679569,428643.5357679569,605230.726541648
A2,Inflazione persistente,-0.0006125110701239839,-6.125110701239839,36750.66420743903,-36750.66420743903,181993.39718483502
A1,Disinflazione ordinata,-0.002316973904187331,-23.16973904187331,139018.43425123984,-139018.43425123984,-57804.18736968874
A2,Inflazione persistente,0.011252686817514509,112.52686817514508,-675161.2090508705,675161.2090508705,181993.39718483502
A2,Inflazione persistente,0.004631290418860854,46.312904188608535,-277877.4251316512,277877.4251316512,181993.39718483502
A1,Disinflazione ordinata,0.0005431838614760808,5.431838614760808,-32591.03168856485,32591.03168856485,-57804.18736968874
A3,Repricing severo,0.013688237665859351,136.8823766585935,-821294.2599515611,821294.2599515611,605230.726541648
A1,Disinflazione ordinata,-0.003172857346967973,-31.728573469679727,190371.44081807838,-190371.44081807838,-57804.18736968874
A1,Disinflazione ordinata,-0.003752182586877551,-37.52182586877551,225130.95521265306,-225130.95521265306,-57804.18736968874
A1,Disinflazione ordinata,-0.0020391638475185615,-20.391638475185616,122349.83085111369,-122349.83085111369,-57804.18736968874
A2,Inflazione persistente,0.0003249966763441978,3.249966763441978,-19499.800580651867,19499.800580651867,181993.39718483502
A1,Disinflazione ordinata,-0.004171574658252052,-41.71574658252052,250294.47949512312,-250294.47949512312,-57804.18736968874
A2,Inflazione persistente,-0.00316553121562518,-31.6553121562518,189931.8729375108,-189931.8729375108,181993.39718483502
A1,Disinflazione ordinata,-0.00591155562463314,-59.1155562463314,354693.3374779884,-354693.3374779884,-57804.18736968874
A1,Disinflazione ordinata,0.0009879905327187526,9.879905327187526,-59279.43196312516,59279.43196312516,-57804.18736968874
A2,Inflazione persistente,0.00614912650107081,61.491265010708105,-368947.5900642486,368947.5900642486,181993.39718483502
A1,Disinflazione ordinata,-0.0012432971224766054,-12.432971224766055,74597.82734859633,-74597.82734859633,-57804.18736968874
A1,Disinflazione ordinata,-0.003596237460809247,-35.96237460809247,215774.24764855482,-215774.24764855482,-57804.18736968874
A2,Inflazione persistente,0.00976863485555849,97.6863485555849,-586118.0913335094,586118.0913335094,181993.39718483502
A1,Disinflazione ordinata,-0.0006459061760277337,-6.459061760277337,38754.37056166402,-38754.37056166402,-57804.18736968874
A1,Disinflazione ordinata,0.001700865142382523,17.00865142382523,-102051.90854295138,102051.90854295138,-57804.18736968874
A2,Inflazione persistente,-0.0003448749124429543,-3.448749124429543,20692.49474657726,-20692.49474657726,181993.39718483502
A2,Inflazione persistente,0.0034902269100926704,34.9022691009267,-209413.61460556023,209413.61460556023,181993.39718483502
A1,Disinflazione ordinata,0.005229526770376093,52.29526770376093,-313771.6062225656,313771.6062225656,-57804.18736968874
A1,Disinflazione ordinata,-0.0006554209361506839,-6.554209361506839,39325.25616904103,-39325.25616904103,-57804.18736968874
A1,Disinflazione ordinata,0.001630803293090895,16.30803293090895,-97848.1975854537,97848.1975854537,-57804.18736968874
A1,Disinflazione ordinata,-0.001689479302008475,-16.894793020084748,101368.7581205085,-101368.7581205085,-57804.18736968874
A2,Inflazione persistente,0.008289440592076737,82.89440592076737,-497366.4355246042,497366.4355246042,181993.39718483502
A1,Disinflazione ordinata,-0.004011822933628602,-40.11822933628602,240709.37601771613,-240709.37601771613,-57804.18736968874
A2,Inflazione persistente,0.007606349678424257,76.06349678424257,-456380.9807054554,456380.9807054554,181993.39718483502
A1,Disinflazione ordinata,-0.0003913120743753697,-3.913120743753697,23478.72446252218,-23478.72446252218,-57804.18736968874
A3,Repricing severo,0.01501034569799779,150.1034569799779,-900620.7418798674,900620.7418798674,605230.726541648
A1,Disinflazione ordinata,-0.0016007344199770544,-16.007344199770543,96044.06519862326,-96044.06519862326,-57804.18736968874
A3,Repricing severo,0.00791044847594784,79.10448475947841,-474626.9085568704,474626.9085568704,605230.726541648
A1,Disinflazione ordinata,-0.00018146909500298505,-1.8146909500298505,10888.145700179102,-10888.145700179102,-57804.18736968874
A2,Inflazione persistente,-0.008937378962100478,-89.37378962100479,536242.7377260287,-536242.7377260287,181993.39718483502
A2,Inflazione persistente,-0.002404147356231491,-24.04147356231491,144248.84137388947,-144248.84137388947,181993.39718483502
A1,Disinflazione ordinata,-0.0025663233267957906,-25.663233267957906,153979.39960774744,-153979.39960774744,-57804.18736968874
A2,Inflazione persistente,0.010838252995720582,108.38252995720582,-650295.1797432349,650295.1797432349,181993.39718483502
A1,Disinflazione ordinata,0.0023709332170757137,23.709332170757136,-142255.9930245428,142255.9930245428,-57804.18736968874
A1,Disinflazione ordinata,0.00122144586857772,12.214458685777199,-73286.7521146632,73286.7521146632,-57804.18736968874
A2,Inflazione persistente,-0.008291094449087898,-82.91094449087898,497465.6669452739,-497465.6669452739,181993.39718483502
A2,Inflazione persistente,-0.0011692928753626042,-11.692928753626042,70157.57252175626,-70157.57252175626,181993.39718483502
A2,Inflazione persistente,0.000557644730450382,5.576447304503819,-33458.68382702292,33458.68382702292,181993.39718483502
A1,Disinflazione ordinata,-0.000645037116564931,-6.45037116564931,38702.226993895856,-38702.226993895856,-57804.18736968874
A1,Disinflazione ordinata,-0.0012241519646778104,-12.241519646778105,73449.11788066862,-73449.11788066862,-57804.18736968874
A2,Inflazione persistente,-0.001986462235353213,-19.86462235353213,119187.73412119279,-119187.73412119279,181993.39718483502
A1,Disinflazione ordinata,0.004764960384741222,47.649603847412216,-285897.6230844733,285897.6230844733,-57804.18736968874
A3,Repricing severo,-0.0024813484822483085,-24.813484822483087,148880.9089348985,-148880.9089348985,605230.726541648
A2,Inflazione persistente,-0.001890707373892608,-18.90707373892608,113442.44243355648,-113442.44243355648,181993.39718483502
A2,Inflazione persistente,-0.00024993211032487556,-2.4993211032487554,14995.926619492533,-14995.926619492533,181993.39718483502
A1,Disinflazione ordinata,-8.668368143025342e-05,-0.8668368143025342,5201.0208858152055,-5201.0208858152055,-57804.18736968874
A1,Disinflazione ordinata,0.001104260557511728,11.042605575117278,-66255.63345070367,66255.63345070367,-57804.18736968874
A1,Disinflazione ordinata,0.0022748654138108385,22.748654138108385,-136491.9248286503,136491.9248286503,-57804.18736968874
A1,Disinflazione ordinata,-0.004909084148549882,-49.09084148549882,294545.04891299293,-294545.04891299293,-57804.18736968874
A3,Repricing severo,0.022012337651756107,220.12337651756107,-1320740.2591053664,1320740.2591053664,605230.726541648
A3,Repricing severo,0.017258069812409918,172.58069812409917,-1035484.188744595,1035484.188744595,605230.726541648
A2,Inflazione persistente,0.00022710976919998243,2.2710976919998243,-13626.586151998947,13626.586151998947,181993.39718483502
A2,Inflazione persistente,0.011852720962224991,118.52720962224991,-711163.2577334995,711163.2577334995,181993.39718483502
A1,Disinflazione ordinata,-0.0038948982141199925,-38.94898214119993,233693.89284719955,-233693.89284719955,-57804.18736968874
A3,Repricing severo,0.030354345039201258,303.5434503920126,-1821260.7023520756,1821260.7023520756,605230.726541648
A1,Disinflazione ordinata,-0.005540718190486878,-55.40718190486878,332443.09142921265,-332443.09142921265,-57804.18736968874
A2,Inflazione persistente,0.0007100241917891953,7.100241917891953,-42601.45150735172,42601.45150735172,181993.39718483502
A1,Disinflazione ordinata,0.005423909142127672,54.23909142127672,-325434.5485276603,325434.5485276603,-57804.18736968874
A1,Disinflazione ordinata,-0.0030936242399147427,-30.936242399147428,185617.45439488455,-185617.45439488455,-57804.18736968874
A2,Inflazione persistente,0.008613461056151767,86.13461056151766,-516807.663369106,516807.663369106,181993.39718483502
A1,Disinflazione ordinata,-0.0034242647090280106,-34.24264709028011,205455.88254168062,-205455.88254168062,-57804.18736968874
A2,Inflazione persistente,-0.0007521081665030497,-7.521081665030497,45126.48999018298,-45126.48999018298,181993.39718483502
A2,Inflazione persistente,0.0020660772532598935,20.660772532598934,-123964.63519559361,123964.63519559361,181993.39718483502
A2,Inflazione persistente,-0.005630129849357772,-56.30129849357772,337807.7909614663,-337807.7909614663,181993.39718483502
A1,Disinflazione ordinata,-0.006145485611284363,-61.454856112843636,368729.1366770618,-368729.1366770618,-57804.18736968874
A1,Disinflazione ordinata,0.00784469276391489,78.4469276391489,-470681.5658348934,470681.5658348934,-57804.18736968874
A1,Disinflazione ordinata,-0.0018792350210401498,-18.792350210401498,112754.10126240899,-112754.10126240899,-57804.18736968874
A1,Disinflazione ordinata,0.009234462929182681,92.3446292918268,-554067.7757509608,554067.7757509608,-57804.18736968874
A2,Inflazione persistente,0.009212611770368669,92.12611770368669,-552756.7062221201,552756.7062221201,181993.39718483502
A3,Repricing severo,0.0155419738135483,155.41973813548302,-932518.428812898,932518.428812898,605230.726541648
A3,Repricing severo,0.008246693247283898,82.46693247283898,-494801.59483703383,494801.59483703383,605230.726541648
A1,Disinflazione ordinata,0.000744704496331105,7.4470449633110505,-44682.2697798663,44682.2697798663,-57804.18736968874
A3,Repricing severo,0.007421071756873211,74.21071756873211,-445264.30541239266,445264.30541239266,605230.726541648
A1,Disinflazione ordinata,-0.006541991784012252,-65.41991784012252,392519.50704073516,-392519.50704073516,-57804.18736968874
A2,Inflazione persistente,0.0025895406242401405,25.895406242401403,-155372.43745440844,155372.43745440844,181993.39718483502
A3,Repricing severo,-0.0019698406606554267,-19.69840660655427,118190.4396393256,-118190.4396393256,605230.726541648
A1,Disinflazione ordinata,0.001987601138695581,19.87601138695581,-119256.06832173486,119256.06832173486,-57804.18736968874
A1,Disinflazione ordinata,0.0015051372885308465,15.051372885308465,-90308.2373118508,90308.2373118508,-57804.18736968874
A2,Inflazione persistente,-0.0003204988210510993,-3.204988210510993,19229.92926306596,-19229.92926306596,181993.39718483502
A1,Disinflazione ordinata,-0.005150817684242257,-51.50817684242257,309049.0610545354,-309049.0610545354,-57804.18736968874
A2,Inflazione persistente,0.014491387836285025,144.91387836285026,-869483.2701771015,869483.2701771015,181993.39718483502
A1,Disinflazione ordinata,-0.0019491080247467651,-19.49108024746765,116946.4814848059,-116946.4814848059,-57804.18736968874
A2,Inflazione persistente,0.007467367033474288,74.67367033474288,-448042.0220084573,448042.0220084573,181993.39718483502
A3,Repricing severo,0.004621382550692845,46.21382550692845,-277282.95304157067,277282.95304157067,605230.726541648
A1,Disinflazione ordinata,0.000838845106152047,8.38845106152047,-50330.70636912282,50330.70636912282,-57804.18736968874
A2,Inflazione persistente,0.0015652068389831787,15.652068389831786,-93912.41033899072,93912.41033899072,181993.39718483502
A2,Inflazione persistente,0.0005052330868285924,5.052330868285924,-30313.98520971554,30313.98520971554,181993.39718483502
A2,Inflazione persistente,-0.000720598589196673,-7.20598589196673,43235.91535180038,-43235.91535180038,181993.39718483502
A3,Repricing severo,0.0068154689164141614,68.15468916414162,-408928.13498484966,408928.13498484966,605230.726541648
A2,Inflazione persistente,-0.0025311534700774557,-25.311534700774555,151869.20820464735,-151869.20820464735,181993.39718483502
A1,Disinflazione ordinata,0.0022983359799517546,22.983359799517547,-137900.15879710528,137900.15879710528,-57804.18736968874
A2,Inflazione persistente,-0.0006710418239042927,-6.7104182390429274,40262.50943425756,-40262.50943425756,181993.39718483502
A1,Disinflazione ordinata,0.003277770641579891,32.77770641579891,-196666.23849479345,196666.23849479345,-57804.18736968874
A2,Inflazione persistente,0.00725145022920282,72.5145022920282,-435087.0137521692,435087.0137521692,181993.39718483502
A2,Inflazione persistente,0.0025939521553849697,25.939521553849698,-155637.12932309817,155637.12932309817,181993.39718483502
A3,Repricing severo,0.021675378195947025,216.75378195947025,-1300522.6917568215,1300522.6917568215,605230.726541648
A3,Repricing severo,0.02078285238581226,207.82852385812262,-1246971.1431487356,1246971.1431487356,605230.726541648
A1,Disinflazione ordinata,-0.0006037110641578917,-6.037110641578917,36222.6638494735,-36222.6638494735,-57804.18736968874
A1,Disinflazione ordinata,-0.0008142307061028018,-8.142307061028017,48853.84236616811,-48853.84236616811,-57804.18736968874
A3,Repricing severo,0.01308006258998643,130.8006258998643,-784803.7553991858,784803.7553991858,605230.726541648
A2,Inflazione persistente,0.007043696431462053,70.43696431462052,-422621.7858877232,422621.7858877232,181993.39718483502
A1,Disinflazione ordinata,0.00433825079313517,43.3825079313517,-260295.04758811017,260295.04758811017,-57804.18736968874
A1,Disinflazione ordinata,-0.0017862584844561234,-17.862584844561233,107175.5090673674,-107175.5090673674,-57804.18736968874
A2,Inflazione persistente,0.009329403879874704,93.29403879874704,-559764.2327924822,559764.2327924822,181993.39718483502
A1,Disinflazione ordinata,0.003318875041654767,33.18875041654767,-199132.50249928603,199132.50249928603,-57804.18736968874
A1,Disinflazione ordinata,0.008616528680284088,86.16528680284088,-516991.72081704525,516991.72081704525,-57804.18736968874
A3,Repricing severo,0.0026334158891906925,26.334158891906924,-158004.95335144154,158004.95335144154,605230.726541648
A2,Inflazione persistente,0.008880208819818831,88.80208819818832,-532812.52918913,532812.52918913,181993.39718483502
A3,Repricing severo,0.006220748793926584,62.20748793926584,-373244.927635595,373244.927635595,605230.726541648
A2,Inflazione persistente,0.0008213651169271872,8.213651169271872,-49281.90701563124,49281.90701563124,181993.39718483502
A1,Disinflazione ordinata,-0.00648410616154378,-64.8410616154378,389046.3696926268,-389046.3696926268,-57804.18736968874
A2,Inflazione persistente,0.011184695053293215,111.84695053293215,-671081.7031975929,671081.7031975929,181993.39718483502
A2,Inflazione persistente,0.0009391913118746756,9.391913118746757,-56351.47871248054,56351.47871248054,181993.39718483502
A1,Disinflazione ordinata,-0.0030184241266682237,-30.184241266682236,181105.4476000934,-181105.4476000934,-57804.18736968874
A1,Disinflazione ordinata,-0.0001254909643158169,-1.2549096431581688,7529.457858949013,-7529.457858949013,-57804.18736968874
A1,Disinflazione ordinata,0.0022397200398820917,22.397200398820917,-134383.2023929255,134383.2023929255,-57804.18736968874
A3,Repricing severo,0.00875628689546405,87.5628689546405,-525377.213727843,525377.213727843,605230.726541648
A3,Repricing severo,0.015461984512859796,154.61984512859797,-927719.0707715878,927719.0707715878,605230.726541648
A2,Inflazione persistente,-0.0067736234220507315,-67.73623422050731,406417.4053230439,-406417.4053230439,181993.39718483502
A2,Inflazione persistente,0.006926218180936665,69.26218180936665,-415573.09085619985,415573.09085619985,181993.39718483502
A2,Inflazione persistente,0.017161262269789094,171.61262269789094,-1029675.7361873456,1029675.7361873456,181993.39718483502
A2,Inflazione persistente,0.011206745545500624,112.06745545500624,-672404.7327300374,672404.7327300374,181993.39718483502
A1,Disinflazione ordinata,0.0038241333363082004,38.241333363082006,-229448.00017849202,229448.00017849202,-57804.18736968874
A3,Repricing severo,-0.009129549251617122,-91.29549251617122,547772.9550970274,-547772.9550970274,605230.726541648
A3,Repricing severo,0.009724100051445344,97.24100051445343,-583446.0030867206,583446.0030867206,605230.726541648
A2,Inflazione persistente,-0.007098310528377875,-70.98310528377876,425898.6317026725,-425898.6317026725,181993.39718483502
A3,Repricing severo,0.007492138753668293,74.92138753668293,-449528.3252200976,449528.3252200976,605230.726541648
A3,Repricing severo,-0.005445732958117854,-54.45732958117854,326743.97748707124,-326743.97748707124,605230.726541648
A2,Inflazione persistente,0.006049753385430892,60.49753385430892,-362985.2031258535,362985.2031258535,181993.39718483502
A2,Inflazione persistente,0.002218334984523742,22.18334984523742,-133100.0990714245,133100.0990714245,181993.39718483502
A2,Inflazione persistente,0.0023184717556118646,23.184717556118645,-139108.30533671187,139108.30533671187,181993.39718483502
A1,Disinflazione ordinata,-0.002767689314307954,-27.67689314307954,166061.35885847724,-166061.35885847724,-57804.18736968874
A1,Disinflazione ordinata,-0.002632371397102695,-26.32371397102695,157942.2838261617,-157942.2838261617,-57804.18736968874
A1,Disinflazione ordinata,0.002450602628997315,24.50602628997315,-147036.15773983888,147036.15773983888,-57804.18736968874
A3,Repricing severo,0.010266805274360075,102.66805274360075,-616008.3164616046,616008.3164616046,605230.726541648
A1,Disinflazione ordinata,0.0023605146806585384,23.605146806585385,-141630.8808395123,141630.8808395123,-57804.18736968874
A2,Inflazione persistente,0.0015747313624151502,15.747313624151502,-94483.88174490901,94483.88174490901,181993.39718483502
A1,Disinflazione ordinata,-0.001510271251149341,-15.10271251149341,90616.27506896046,-90616.27506896046,-57804.18736968874
A1,Disinflazione ordinata,0.002636647457754705,26.36647457754705,-158198.8474652823,158198.8474652823,-57804.18736968874
A1,Disinflazione ordinata,0.007647852706387862,76.47852706387863,-458871.16238327173,458871.16238327173,-57804.18736968874
A3,Repricing severo,0.009782175812991975,97.82175812991974,-586930.5487795185,586930.5487795185,605230.726541648
A2,Inflazione persistente,0.010979358625831562,109.79358625831561,-658761.5175498937,658761.5175498937,181993.39718483502
A1,Disinflazione ordinata,-0.007181428062479751,-71.8142806247975,430885.68374878506,-430885.68374878506,-57804.18736968874
A3,Repricing severo,0.021651186536919186,216.51186536919187,-1299071.1922151512,1299071.1922151512,605230.726541648
A2,Inflazione persistente,-0.002588424530627035,-25.88424530627035,155305.4718376221,-155305.4718376221,181993.39718483502
A1,Disinflazione ordinata,-0.003543203570352827,-35.43203570352827,212592.21422116962,-212592.21422116962,-57804.18736968874
A2,Inflazione persistente,-0.006556981882356343,-65.56981882356344,393418.9129413806,-393418.9129413806,181993.39718483502
A2,Inflazione persistente,0.004772449110528635,47.72449110528635,-286346.9466317181,286346.9466317181,181993.39718483502
A1,Disinflazione ordinata,-0.0031367856753650447,-31.367856753650447,188207.14052190268,-188207.14052190268,-57804.18736968874
A2,Inflazione persistente,-0.005241345055535256,-52.413450555352554,314480.7033321154,-314480.7033321154,181993.39718483502
A3,Repricing severo,0.01457133291883657,145.7133291883657,-874279.9751301942,874279.9751301942,605230.726541648
A2,Inflazione persistente,-0.002518168450852153,-25.181684508521528,151090.10705112916,-151090.10705112916,181993.39718483502
A2,Inflazione persistente,0.009711920684126345,97.11920684126345,-582715.2410475807,582715.2410475807,181993.39718483502
A1,Disinflazione ordinata,0.001675691713825945,16.75691713825945,-100541.5028295567,100541.5028295567,-57804.18736968874
A2,Inflazione persistente,0.011955373349443667,119.55373349443667,-717322.40096662,717322.40096662,181993.39718483502
A2,Inflazione persistente,0.0036193509014405888,36.19350901440589,-217161.05408643532,217161.05408643532,181993.39718483502
A2,Inflazione persistente,0.005130670752750569,51.30670752750569,-307840.24516503414,307840.24516503414,181993.39718483502
A2,Inflazione persistente,0.012043280766538541,120.43280766538541,-722596.8459923124,722596.8459923124,181993.39718483502
A1,Disinflazione ordinata,-0.0030240715575069435,-30.240715575069434,181444.29345041662,-181444.29345041662,-57804.18736968874
A1,Disinflazione ordinata,-0.003672343895116371,-36.72343895116371,220340.63370698225,-220340.63370698225,-57804.18736968874
A1,Disinflazione ordinata,0.0003720015872841608,3.720015872841608,-22320.09523704965,22320.09523704965,-57804.18736968874
A3,Repricing severo,0.0018543767986100978,18.543767986100978,-111262.60791660586,111262.60791660586,605230.726541648
A1,Disinflazione ordinata,0.0033622527529077314,33.62252752907732,-201735.16517446388,201735.16517446388,-57804.18736968874
A1,Disinflazione ordinata,-0.0031193418874405163,-31.193418874405165,187160.513246431,-187160.513246431,-57804.18736968874
A1,Disinflazione ordinata,0.0059818207410337,59.818207410337,-358909.24446202203,358909.24446202203,-57804.18736968874
A2,Inflazione persistente,-0.005687155908604102,-56.87155908604102,341229.3545162461,-341229.3545162461,181993.39718483502
A2,Inflazione persistente,-0.003888244926762905,-38.88244926762905,233294.6956057743,-233294.6956057743,181993.39718483502
A1,Disinflazione ordinata,0.0025802406445516123,25.802406445516123,-154814.43867309674,154814.43867309674,-57804.18736968874
A1,Disinflazione ordinata,-0.002605722141837477,-26.05722141837477,156343.32851024863,-156343.32851024863,-57804.18736968874
A2,Inflazione persistente,0.00658971808501083,65.8971808501083,-395383.0851006498,395383.0851006498,181993.39718483502
A1,Disinflazione ordinata,-0.006975569856501052,-69.75569856501052,418534.19139006315,-418534.19139006315,-57804.18736968874
A2,Inflazione persistente,-0.0018257432974317315,-18.257432974317314,109544.59784590389,-109544.59784590389,181993.39718483502
A2,Inflazione persistente,0.004798947307008524,47.98947307008524,-287936.83842051146,287936.83842051146,181993.39718483502
A1,Disinflazione ordinata,-0.0007685589922231438,-7.685589922231438,46113.53953338863,-46113.53953338863,-57804.18736968874
A3,Repricing severo,0.03405827512387478,340.5827512387478,-2043496.5074324866,2043496.5074324866,605230.726541648
A2,Inflazione persistente,0.006561912629407039,65.6191262940704,-393714.75776442233,393714.75776442233,181993.39718483502
A2,Inflazione persistente,-0.003841230842405577,-38.412308424055766,230473.85054433462,-230473.85054433462,181993.39718483502
A2,Inflazione persistente,0.0016176853839939354,16.176853839939355,-97061.12303963612,97061.12303963612,181993.39718483502
A1,Disinflazione ordinata,-0.003959071024701136,-39.59071024701136,237544.26148206816,-237544.26148206816,-57804.18736968874
A2,Inflazione persistente,-0.0017616408959182702,-17.616408959182703,105698.45375509621,-105698.45375509621,181993.39718483502
A2,Inflazione persistente,-0.004388011586869107,-43.88011586869107,263280.69521214644,-263280.69521214644,181993.39718483502
A3,Repricing severo,0.004492994248535746,44.92994248535746,-269579.65491214476,269579.65491214476,605230.726541648
A3,Repricing severo,0.025788575601132513,257.88575601132516,-1547314.5360679508,1547314.5360679508,605230.726541648
A3,Repricing severo,0.021931973703235023,219.31973703235022,-1315918.4221941014,1315918.4221941014,605230.726541648
A3,Repricing severo,0.022582053607547226,225.82053607547226,-1354923.2164528335,1354923.2164528335,605230.726541648
A2,Inflazione persistente,-0.004553189482143261,-45.53189482143261,273191.3689285957,-273191.3689285957,181993.39718483502
A2,Inflazione persistente,0.004805886534837931,48.058865348379314,-288353.1920902759,288353.1920902759,181993.39718483502
A2,Inflazione persistente,-0.000404315338462313,-4.04315338462313,24258.92030773878,-24258.92030773878,181993.39718483502
A2,Inflazione persistente,0.00031973273330299654,3.1973273330299654,-19183.96399817979,19183.96399817979,181993.39718483502
A3,Repricing severo,0.02506307060565672,250.6307060565672,-1503784.236339403,1503784.236339403,605230.726541648
A1,Disinflazione ordinata,0.003456106761944055,34.56106761944055,-207366.40571664332,207366.40571664332,-57804.18736968874
A2,Inflazione persistente,0.0074998061591448955,74.99806159144896,-449988.3695486937,449988.3695486937,181993.39718483502
A3,Repricing severo,0.020629420152047794,206.29420152047794,-1237765.2091228676,1237765.2091228676,605230.726541648
A1,Disinflazione ordinata,-0.008703117421207563,-87.03117421207564,522187.0452724538,-522187.0452724538,-57804.18736968874
A1,Disinflazione ordinata,-0.000926292547705257,-9.26292547705257,55577.552862315424,-55577.552862315424,-57804.18736968874
A3,Repricing severo,0.014744422019510695,147.44422019510696,-884665.3211706417,884665.3211706417,605230.726541648
A2,Inflazione persistente,0.005434400694088972,54.34400694088972,-326064.0416453383,326064.0416453383,181993.39718483502
A3,Repricing severo,0.0173533097509492,173.533097509492,-1041198.585056952,1041198.585056952,605230.726541648
A2,Inflazione persistente,0.011384016250787238,113.84016250787238,-683040.9750472343,683040.9750472343,181993.39718483502
A3,Repricing severo,0.018798026881658637,187.98026881658637,-1127881.6128995183,1127881.6128995183,605230.726541648
A3,Repricing severo,0.02492423021351525,249.2423021351525,-1495453.812810915,1495453.812810915,605230.726541648
A2,Inflazione persistente,0.0014554203590976048,14.554203590976048,-87325.22154585629,87325.22154585629,181993.39718483502
A1,Disinflazione ordinata,-7.495928365172427e-05,-0.7495928365172427,4497.557019103457,-4497.557019103457,-57804.18736968874
A1,Disinflazione ordinata,-0.005279588116927423,-52.795881169274224,316775.28701564536,-316775.28701564536,-57804.18736968874
A3,Repricing severo,0.0099632076764385,99.632076764385,-597792.46058631,597792.46058631,605230.726541648
A1,Disinflazione ordinata,0.0043904727262702985,43.904727262702984,-263428.3635762179,263428.3635762179,-57804.18736968874
